type,id_simulated,num_nodes,tour,cost,start,end,seconds
GA-N,31,6,"[1, 2, 4, 0, 3, 5]",499,2024-09-29 02:39:51.071490,2024-09-29 02:39:51.077805,0.006315
B&B,32,6,"[0, 1, 5, 2, 3, 4]",536,2024-09-29 02:39:51.077865,2024-09-29 02:39:51.078372,0.000507
GA-P,32,6,"[5, 1, 0, 4, 3, 2]",536,2024-09-29 02:39:51.078540,2024-09-29 02:39:51.084640,0.0061
GA-N,32,6,"[2, 5, 1, 0, 4, 3]",536,2024-09-29 02:39:51.084753,2024-09-29 02:39:51.091319,0.006566
B&B,33,6,"[0, 3, 4, 1, 5, 2]",719,2024-09-29 02:39:51.091376,2024-09-29 02:39:51.092094,0.000718
GA-P,33,6,"[3, 0, 2, 5, 1, 4]",719,2024-09-29 02:39:51.092156,2024-09-29 02:39:51.098111,0.005955
GA-N,33,6,"[3, 0, 2, 5, 1, 4]",719,2024-09-29 02:39:51.098182,2024-09-29 02:39:51.104143,0.005961
B&B,34,6,"[0, 5, 2, 4, 3, 1]",546,2024-09-29 02:39:51.104198,2024-09-29 02:39:51.104723,0.000525
GA-P,34,6,"[4, 2, 5, 0, 1, 3]",546,2024-09-29 02:39:51.104785,2024-09-29 02:39:51.111587,0.006802
GA-N,34,6,"[5, 0, 1, 3, 4, 2]",546,2024-09-29 02:39:51.111654,2024-09-29 02:39:51.117021,0.005367
B&B,35,6,"[0, 1, 4, 5, 2, 3]",521,2024-09-29 02:39:51.117073,2024-09-29 02:39:51.117584,0.000511
GA-P,35,6,"[2, 5, 4, 1, 0, 3]",521,2024-09-29 02:39:51.117645,2024-09-29 02:39:51.124668,0.007023
GA-N,35,6,"[2, 3, 0, 1, 4, 5]",521,2024-09-29 02:39:51.124819,2024-09-29 02:39:51.130520,0.005701
B&B,36,6,"[0, 3, 2, 1, 4, 5]",582,2024-09-29 02:39:51.130632,2024-09-29 02:39:51.131230,0.000598
GA-P,36,6,"[4, 1, 2, 3, 0, 5]",582,2024-09-29 02:39:51.131293,2024-09-29 02:39:51.137355,0.006062
GA-N,36,6,"[3, 2, 1, 4, 5, 0]",582,2024-09-29 02:39:51.137422,2024-09-29 02:39:51.142956,0.005534
B&B,37,6,"[0, 3, 4, 5, 2, 1]",414,2024-09-29 02:39:51.143056,2024-09-29 02:39:51.143529,0.000473
GA-P,37,6,"[0, 1, 2, 5, 4, 3]",414,2024-09-29 02:39:51.143589,2024-09-29 02:39:51.149881,0.006292
GA-N,37,6,"[0, 3, 4, 5, 2, 1]",414,2024-09-29 02:39:51.149993,2024-09-29 02:39:51.155915,0.005922
B&B,38,6,"[0, 3, 5, 4, 2, 1]",570,2024-09-29 02:39:51.155970,2024-09-29 02:39:51.156549,0.000579
GA-P,38,6,"[0, 3, 5, 4, 2, 1]",570,2024-09-29 02:39:51.156606,2024-09-29 02:39:51.162906,0.0063
GA-N,38,6,"[4, 5, 3, 0, 1, 2]",570,2024-09-29 02:39:51.163015,2024-09-29 02:39:51.169008,0.005993
B&B,39,6,"[0, 4, 2, 3, 5, 1]",369,2024-09-29 02:39:51.169061,2024-09-29 02:39:51.169499,0.000438
GA-P,39,6,"[1, 0, 4, 2, 3, 5]",369,2024-09-29 02:39:51.169664,2024-09-29 02:39:51.175763,0.006099
GA-N,39,6,"[1, 0, 4, 2, 3, 5]",369,2024-09-29 02:39:51.175836,2024-09-29 02:39:51.181396,0.00556
B&B,40,7,"[0, 4, 6, 1, 5, 2, 3]",463,2024-09-29 02:39:51.181457,2024-09-29 02:39:51.182746,0.001289
GA-P,40,7,"[6, 1, 5, 2, 3, 0, 4]",463,2024-09-29 02:39:51.182825,2024-09-29 02:39:51.193433,0.010608
GA-N,40,7,"[3, 0, 4, 6, 1, 5, 2]",463,2024-09-29 02:39:51.193518,2024-09-29 02:39:51.202340,0.008822
B&B,41,7,"[0, 1, 5, 6, 3, 4, 2]",398,2024-09-29 02:39:51.202456,2024-09-29 02:39:51.203578,0.001122
GA-P,41,7,"[3, 6, 5, 1, 0, 2, 4]",398,2024-09-29 02:39:51.203655,2024-09-29 02:39:51.214947,0.011292
GA-N,41,7,"[3, 4, 2, 0, 1, 5, 6]",398,2024-09-29 02:39:51.215071,2024-09-29 02:39:51.224487,0.009416
B&B,42,7,"[0, 6, 2, 1, 5, 3, 4]",449,2024-09-29 02:39:51.224549,2024-09-29 02:39:51.226210,0.001661
GA-P,42,7,"[6, 2, 1, 5, 3, 4, 0]",449,2024-09-29 02:39:51.226287,2024-09-29 02:39:51.237337,0.01105
GA-N,42,7,"[1, 5, 3, 4, 0, 6, 2]",449,2024-09-29 02:39:51.237459,2024-09-29 02:39:51.245644,0.008185
B&B,43,7,"[0, 4, 1, 5, 3, 6, 2]",646,2024-09-29 02:39:51.245705,2024-09-29 02:39:51.248149,0.002444
GA-P,43,7,"[3, 6, 2, 0, 4, 1, 5]",646,2024-09-29 02:39:51.248225,2024-09-29 02:39:51.258346,0.010121
GA-N,43,7,"[5, 1, 4, 0, 2, 6, 3]",646,2024-09-29 02:39:51.258484,2024-09-29 02:39:51.267330,0.008846
B&B,44,7,"[0, 2, 6, 1, 4, 5, 3]",450,2024-09-29 02:39:51.267433,2024-09-29 02:39:51.269015,0.001582
GA-P,44,7,"[1, 4, 5, 3, 0, 2, 6]",450,2024-09-29 02:39:51.269092,2024-09-29 02:39:51.280506,0.011414
GA-N,44,7,"[4, 1, 6, 2, 0, 3, 5]",450,2024-09-29 02:39:51.280590,2024-09-29 02:39:51.292638,0.012048
B&B,45,7,"[0, 2, 3, 5, 4, 6, 1]",789,2024-09-29 02:39:51.292699,2024-09-29 02:39:51.295803,0.003104
GA-P,45,7,"[0, 2, 3, 5, 4, 6, 1]",789,2024-09-29 02:39:51.295883,2024-09-29 02:39:51.310040,0.014157
GA-N,45,7,"[6, 1, 0, 2, 3, 5, 4]",789,2024-09-29 02:39:51.310279,2024-09-29 02:39:51.318271,0.007992
B&B,46,7,"[0, 2, 1, 6, 4, 3, 5]",507,2024-09-29 02:39:51.318339,2024-09-29 02:39:51.321137,0.002798
GA-P,46,7,"[2, 1, 6, 4, 3, 5, 0]",507,2024-09-29 02:39:51.321221,2024-09-29 02:39:51.331127,0.009906
GA-N,46,7,"[4, 3, 5, 0, 2, 1, 6]",507,2024-09-29 02:39:51.331212,2024-09-29 02:39:51.339258,0.008046
B&B,47,7,"[0, 4, 1, 3, 2, 6, 5]",282,2024-09-29 02:39:51.339368,2024-09-29 02:39:51.339918,0.00055
GA-P,47,7,"[5, 0, 4, 1, 3, 2, 6]",282,2024-09-29 02:39:51.339993,2024-09-29 02:39:51.349821,0.009828
GA-N,47,7,"[1, 3, 2, 6, 5, 0, 4]",282,2024-09-29 02:39:51.349905,2024-09-29 02:39:51.357825,0.00792
B&B,48,7,"[0, 5, 2, 6, 4, 3, 1]",421,2024-09-29 02:39:51.357894,2024-09-29 02:39:51.358755,0.000861
GA-P,48,7,"[3, 1, 0, 5, 2, 6, 4]",421,2024-09-29 02:39:51.358833,2024-09-29 02:39:51.367996,0.009163
GA-N,48,7,"[3, 4, 6, 2, 5, 0, 1]",421,2024-09-29 02:39:51.368121,2024-09-29 02:39:51.380346,0.012225
B&B,49,7,"[0, 5, 6, 1, 3, 2, 4]",656,2024-09-29 02:39:51.380407,2024-09-29 02:39:51.383324,0.002917
GA-P,49,7,"[1, 6, 5, 0, 4, 2, 3]",656,2024-09-29 02:39:51.383400,2024-09-29 02:39:51.393721,0.010321
GA-N,49,7,"[0, 4, 2, 3, 1, 6, 5]",656,2024-09-29 02:39:51.393807,2024-09-29 02:39:51.402801,0.008994
B&B,50,8,"[0, 2, 6, 7, 5, 4, 1, 3]",770,2024-09-29 02:39:51.402929,2024-09-29 02:39:51.420098,0.017169
GA-P,50,8,"[5, 4, 1, 3, 0, 2, 6, 7]",770,2024-09-29 02:39:51.420197,2024-09-29 02:39:51.434354,0.014157
GA-N,50,8,"[5, 4, 1, 3, 0, 2, 6, 7]",770,2024-09-29 02:39:51.434493,2024-09-29 02:39:51.447809,0.013316
B&B,51,8,"[0, 2, 1, 5, 4, 3, 6, 7]",725,2024-09-29 02:39:51.447882,2024-09-29 02:39:51.458260,0.010378
GA-P,51,8,"[5, 1, 2, 0, 7, 6, 3, 4]",725,2024-09-29 02:39:51.458399,2024-09-29 02:39:51.471120,0.012721
GA-N,51,8,"[2, 1, 5, 4, 3, 6, 7, 0]",725,2024-09-29 02:39:51.471255,2024-09-29 02:39:51.485100,0.013845
B&B,52,8,"[0, 5, 2, 1, 3, 6, 4, 7]",547,2024-09-29 02:39:51.485169,2024-09-29 02:39:51.493470,0.008301
GA-P,52,8,"[4, 7, 0, 5, 2, 1, 3, 6]",547,2024-09-29 02:39:51.493565,2024-09-29 02:39:51.506970,0.013405
GA-N,52,8,"[2, 1, 3, 6, 4, 7, 0, 5]",547,2024-09-29 02:39:51.507119,2024-09-29 02:39:51.523526,0.016407
B&B,53,8,"[0, 7, 3, 2, 6, 1, 4, 5]",556,2024-09-29 02:39:51.523598,2024-09-29 02:39:51.532004,0.008406
GA-P,53,8,"[0, 7, 3, 2, 6, 1, 4, 5]",556,2024-09-29 02:39:51.532103,2024-09-29 02:39:51.546822,0.014719
GA-N,53,8,"[1, 6, 2, 3, 7, 0, 5, 4]",556,2024-09-29 02:39:51.546929,2024-09-29 02:39:51.572171,0.025242
B&B,54,8,"[0, 3, 4, 2, 6, 7, 5, 1]",256,2024-09-29 02:39:51.572302,2024-09-29 02:39:51.573257,0.000955
GA-P,54,8,"[4, 3, 0, 1, 5, 7, 6, 2]",256,2024-09-29 02:39:51.573351,2024-09-29 02:39:51.586170,0.012819
GA-N,54,8,"[3, 4, 2, 6, 7, 5, 1, 0]",256,2024-09-29 02:39:51.586270,2024-09-29 02:39:51.600699,0.014429
B&B,55,8,"[0, 5, 1, 6, 4, 2, 7, 3]",383,2024-09-29 02:39:51.600771,2024-09-29 02:39:51.607591,0.00682
GA-P,55,8,"[0, 3, 7, 2, 4, 6, 1, 5]",383,2024-09-29 02:39:51.607690,2024-09-29 02:39:51.622361,0.014671
